Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-11-30,alucardpl,PL,Low-Poly Husky Dog,2.84,23%,20%,0.13,2.97,0.57,2.27,12.80,PLN,⏳ Pending,,,
2024-11-29,njbrown,US,Fluffy Winter Kitty,1.50,0%,20%,0.00,1.50,0.30,1.20,1.50,EUR,⏳ Pending,,,
2024-11-29,felicitym,US,Fluffy Winter Kitty,1.50,0%,20%,0.00,1.50,0.30,1.20,1.50,EUR,⏳ Pending,,,
2024-11-28,jennh,US,snowman,1.42,0%,20%,0.00,1.42,0.28,1.14,1.50,USD,⏳ Pending,,,
2024-11-28,cabelitow,BR,GRUMPY CAT,3.00,0%,20%,0.00,3.00,0.60,2.40,18.46,BRL,⏳ Pending,,,
2024-11-28,guillermopalomares,MX,Low-Poly Husky Dog,1.91,0%,20%,0.00,1.91,0.38,1.53,1.91,EUR,⏳ Pending,,,
2024-11-25,dylangajewski,AU,Spiral Guardian dragon,3.00,0%,20%,0.00,3.00,0.60,2.40,3.00,EUR,⏳ Pending,,,
2024-11-24,drunic,US,GRUMPY CAT,3.00,0%,20%,0.00,3.00,0.60,2.40,3.13,USD,⏳ Pending,,,
